VERTEX	DEGFAC
RER1	0.09583539647865968
RFFL	0.019167079295731936
RFT1	0.05750123788719581
RIOK1	0.23000495154878323
RIOK3	0.05750123788719581
RMC1	0.09583539647865968
RNF11	0.19167079295731937
RNF123	0.42167574450610257
RNF207	0.019167079295731936
RPL22	0.2683391101402471
RPL32	0.2683391101402471
RYR2	0.2683391101402471
SAP30L	0.019167079295731936
SBF2	0.03833415859146387
SCAMP3	0.09583539647865968
SCAP	0.09583539647865968
SCN10A	0.15333663436585548
SCN1B	0.03833415859146387
SCN3B	0.09583539647865968
SCN4B	0.019167079295731936
SCN5A	0.21083787225305128
SCRIB	0.34500742732317485
SELP	0.03833415859146387
SENP2	0.15333663436585548
SERTAD1	0.07666831718292774
SERTAD3	0.07666831718292774
SESTD1	0.019167079295731936
SETD6	0.019167079295731936
SGIP1	0.05750123788719581
SH2D1B	0.03833415859146387
SH3PXD2A	0.11500247577439161
SIPA1L1	0.15333663436585548
SKI	0.13416955507012354
SLC12A7	0.019167079295731936
SLC19A2	0.03833415859146387
SLC22A17	0.019167079295731936
SLC26A9	0.019167079295731936
SLC30A2	0.019167079295731936
SLC35F1	0.019167079295731936
SLC39A2	0.07666831718292774
SLC41A1	0.019167079295731936
SLC4A4	0.05750123788719581
SLC50A1	0.03833415859146387
SLC6A4	0.42167574450610257
SLC8A1	0.13416955507012354
SMARCAD1	0.13416955507012354
SNTA1	0.30667326873171097
SOCS6	0.11500247577439161
SOD2	0.13416955507012354
SORBS1	0.13416955507012354
SORT1	0.13416955507012354
SP3	0.05750123788719581
SPAG8	0.13416955507012354
SPART	0.05750123788719581
SPATA17	0.05750123788719581
SPATC1	0.019167079295731936
SPATS2L	0.05750123788719581
SPEG	0.03833415859146387
SREBF1	0.05750123788719581
SRL	0.019167079295731936
SRRT	0.13416955507012354
SRSF3	0.3258403480274429
STAG3	0.03833415859146387
STC2	0.019167079295731936
STN1	0.09583539647865968
SUN2	0.09583539647865968
SYPL2	0.03833415859146387
TAF6	0.019167079295731936
TAF6L	0.03833415859146387
TAFA4	0.05750123788719581
TAGLN3	0.05750123788719581
TBX20	0.019167079295731936
TBX3	0.07666831718292774
TBX5	0.11500247577439161
TCF7L2	0.17250371366158743
TCHP	0.07666831718292774
TCTN1	0.07666831718292774
TCTN3	0.30667326873171097
TEKT3	0.019167079295731936
TEKT5	0.05750123788719581
TENM2	0.019167079295731936
TFAP4	0.09583539647865968
TGM2	0.17250371366158743
THBS3	0.03833415859146387
TKT	0.24917203084451517
TLE3	0.13416955507012354
TM9SF2	0.03833415859146387
TMEM179B	0.09583539647865968
TMEM223	0.05750123788719581
TMEM41A	0.019167079295731936
TMEM8B	0.019167079295731936
TMF1	0.05750123788719581
TMPRSS7	0.019167079295731936
TNS3	0.05750123788719581
TOMM22	0.30667326873171097
TOMM40	0.23000495154878323
TP53I11	0.019167079295731936
TRAIP	0.11500247577439161
TRDN	0.15333663436585548
TRIM46	0.019167079295731936
TRIM63	0.36417450661890677
TRIM74	0.03833415859146387
TRIP13	0.21083787225305128
TRIP6	0.13416955507012354
TRPC4AP	0.05750123788719581
TRPM7	0.13416955507012354
TSC22D4	0.15333663436585548
TSSC4	0.03833415859146387
TTC9B	0.019167079295731936
TTC9C	0.03833415859146387
TTN	0.34500742732317485
TUBB	0.49834406168903034
TUT1	0.019167079295731936
TXNDC11	0.09583539647865968
UBA3	0.03833415859146387
UBE4B	0.13416955507012354
UBXN1	0.09583539647865968
UFSP1	0.03833415859146387
UHMK1	0.019167079295731936
USP25	0.019167079295731936
VARS2	0.23000495154878323
VILL	0.05750123788719581
VPS29	0.17250371366158743
WDR5B	0.019167079295731936
WIPF1	0.03833415859146387
XPO4	0.019167079295731936
ZDHHC20	0.019167079295731936
ZHX2	0.05750123788719581
ZHX3	0.05750123788719581
ZNF219	0.03833415859146387
ZNF391	0.03833415859146387
ZNF436	0.03833415859146387
ZNF512	0.13416955507012354
ZNF593	0.07666831718292774
ZNF800	0.019167079295731936
ZNF830	0.019167079295731936
ZSCAN21	0.019167079295731936
