gene_name	gene_closestsnpdist_kbp	gene_closestsnp
USP50	55.741	rs3105593
FASTK	110.672	rs3807375
TMUB1	112.969	rs3807375
AGAP3	115.709	rs3807375
SMARCAD1	45.017	rs7439869
CEP85L	27.478	rs3902035
SSXP10	22.93	rs3734381
TRIM74	11.362	rs404321
SPDYE8	64.128	rs404321
POM121	76.242	rs404321
SPDYE11	92.271	rs404321
SPDYE9	120.381	rs404321
SLC35F1	307.556	rs457162
DPT	25.234	rs545833
ACVR2B	64.368	rs2051211
SRL	36.896	rs7195486
TFAP4	53.619	rs7195486
GLIS2	109.582	rs7195486
YPEL2	57.488	rs728478
KLF12	252.896	rs728926
CCDC141	4.628	rs7561149
TTN	17.706	rs7561149
GMPR	51.943	rs1042391
NYAP1	0.812	rs7808970
TSC22D4	5.613	rs7808970
C7orf61	26.495	rs7808970
PPP1R35	46.979	rs7808970
MEPCE	54.793	rs7808970
AGFG2	56.088	rs7808970
ZCWPW1	81.072	rs7808970
SAP25	90.532	rs7808970
LRCH4	93.828	rs7808970
FBXO24	100.867	rs7808970
PILRA	115.585	rs7808970
PCOLCE	119.248	rs7808970
ICMT	16.654	rs846111
HES3	24.869	rs846111
GPR153	28.043	rs846111
SP3	37.237	rs1047640
MCM9	90.707	rs9489510
PRKCA	5.039	rs9892651
APOH	78.26	rs9892651
CAV1	21.193	rs3807989
MET	112.158	rs9920
TCHP	45.072	rs11068997
GIT2	50.959	rs11068997
ANKRD13A	53.85	rs11068997
GLTP	94.391	rs11068997
C12orf76	103.219	rs11068997
DLEC1	23.08	rs116202356
PLCD1	53.95	rs116202356
ACAA1	60.798	rs116202356
VILL	74.226	rs116202356
MYD88	76.193	rs116202356
OXSR1	102.804	rs116202356
SLC26A9	103.078	rs1361754
CSTA	40.338	rs1801725
CCDC58	11.664	rs11920570
FAM162A	12.906	rs11920570
CASR	101.242	rs1801725
AOC1	123.819	rs1805123
SLC4A3	8.296	rs55910611
STK11IP	37.833	rs55910611
OBSL1	64.151	rs55910611
INHA	66.528	rs55910611
TMEM198	92.027	rs55910611
CHPF	96.736	rs55910611
ASIC4	79.351	rs907683
SELP	66.604	rs6033
C1orf112	109.392	rs6033
HPGDS	90.208	rs7439869
NRAP	29.876	rs3189030
CASP7	44.992	rs3189030
HABP2	81.117	rs3189030
PLEKHS1	117.092	rs3189030
TCTN1	28.265	rs75714509
HVCN1	47.125	rs75714509
PPP1CC	100.599	rs75714509
PPTC7	109.047	rs75714509
SESTD1	126.517	rs10497529
KLHL42	22.315	rs1050288
MANSC4	39.936	rs1050288
MRPS35	91.541	rs1050288
REP15	105.916	rs1050288
MAPKAP1	190.771	rs10739663
SGIP1	7.604	rs10789207
HABP4	16.389	rs10820614
ZNF367	47.871	rs10820614
SLC35D2	69.275	rs10820614
PDE3A	49.269	rs10841486
ALG10B	780.474	rs10880689
GAREM1	136.264	rs11081761
CDH2	195.923	rs11083258
PARVA	139.929	rs112421686
SPATA17	81.775	rs11454451
GPATCH2	122.557	rs11454451
ZNF800	43.573	rs11563648
GRM8	77.051	rs11563648
MEF2D	3.307	rs1171563
IQGAP3	85.828	rs1171563
TTC24	92.986	rs1171563
NAXE	105.019	rs1171563
GPATCH4	114.742	rs1171563
RHBG	117.526	rs1171563
CTAGE1	134.694	rs117159291
WDR5B	40.591	rs11920570
UBXN1	3.441	rs12364753
UQCC3	5.341	rs12364753
CSKMT	10.305	rs12364753
C11orf98	10.433	rs12364753
LRRN4CL	10.792	rs12364753
LBHD1	12.797	rs12364753
HNRNPUL2-BSCL2	14.661	rs12364753
BSCL2	19.923	rs12364753
INTS5	28.766	rs12364753
GANAB	29.012	rs12364753
GNG3	32.062	rs12364753
HNRNPUL2	37.016	rs12364753
TTC9C	52.455	rs12364753
B3GAT3	53.628	rs12364753
ROM1	63.892	rs12364753
EML3	71.876	rs12364753
ZBTB3	76.485	rs12364753
MTA2	82.4	rs12364753
POLR2G	85.951	rs12364753
TAF6L	95.743	rs12364753
TUT1	100.569	rs12364753
EEF1G	101.723	rs12364753
TMEM179B	111.788	rs12364753
TMEM223	116.129	rs12364753
PPARGC1A	67.284	rs12501032
TP53I11	7.543	rs12576326
PPFIA2	66.247	rs12579753
GCKR	11.234	rs1260326
FNDC4	16.19	rs1260326
C2orf16	29.313	rs1260326
IFT172	53.986	rs1260326
KRTCAP3	65.707	rs1260326
ZNF512	74.896	rs1260326
NRBP1	80.283	rs1260326
PPM1G	98.518	rs1260326
CCDC121	117.565	rs1260326
GPN1	120.174	rs1260326
BCL11A	670.95	rs12713404
APOC1	4.656	rs12721051
APOE	13.112	rs12721051
APOC4	23.334	rs12721051
APOC4-APOC2	23.335	rs12721051
APOC2	27.132	rs12721051
TOMM40	28.334	rs12721051
CLPTM1	35.682	rs12721051
NECTIN2	72.728	rs12721051
RELB	82.561	rs12721051
BCAM	109.8	rs12721051
CLASRP	120.142	rs12721051
ARHGEF40	4.334	rs12889267
RNASE8	16.785	rs12889267
ZNF219	24.048	rs12889267
TMEM253	24.204	rs12889267
RNASE7	32.291	rs12889267
RNASE13	41.789	rs12889267
NDRG2	48.831	rs12889267
TPPP2	50.498	rs12889267
OR5AU1	73.763	rs12889267
SLC39A2	75.352	rs12889267
METTL17	84.627	rs12889267
RNASE2	119.12	rs12889267
SREBF1	0.552	rs12941356
B3GNT7	8.463	rs13002735
NCL	60.311	rs13002735
NMUR1	119.014	rs13002735
CDH6	305.274	rs13165531
GJA1	1.771	rs3792943
MKLN1	168.916	rs2129561
GAL3ST4	0.882	rs140367586
GPC2	1.44	rs140367586
STAG3	9.397	rs140367586
TRAPPC14	11.726	rs140367586
LAMTOR4	19.248	rs140367586
MBLAC1	41.381	rs140367586
CNPY4	48.532	rs140367586
PVRIG	50.075	rs140367586
TAF6	53.551	rs140367586
AP4M1	66.617	rs140367586
MCM7	66.796	rs140367586
COPS6	79.197	rs140367586
ZNF3	86.439	rs140367586
ZSCAN21	118.392	rs140367586
FRMD4B	24.514	rs1483890
ADCK1	113.232	rs1549118
NUBP1	25.956	rs1592560
TEKT5	46.052	rs1592560
TVP23A	100.777	rs1592560
C19orf47	8.027	rs16974196
PLD3	20.893	rs16974196
AKT2	42.218	rs16974196
HIPK4	51.708	rs16974196
PRX	71.253	rs16974196
SERTAD1	94.026	rs16974196
CCNP	100.874	rs16974196
TTC9B	111.505	rs16974196
SERTAD3	115.035	rs16974196
BLVRB	120.202	rs16974196
DPF3	190.271	rs17180489
FLRT2	199.924	rs17201923
ZHX3	0.053	rs17265513
PLCG1	67.028	rs17265513
DAGLA	104.064	rs174536
WDSUB1	39.578	rs17494056
BAZ2B	122.759	rs17494056
ACHE	0.148	rs17881696
UFSP1	7.017	rs17881696
SRRT	20.635	rs17881696
TRIP6	28.351	rs17881696
MUC3A	53.796	rs17881696
EPHB4	68.623	rs17881696
SLC12A9	68.918	rs17881696
MUC12	73.885	rs17881696
MUC17	124.334	rs17881696
GNG11	0.632	rs180239
TFPI2	35.707	rs180239
BET1	83.252	rs180239
NMNAT1	3.01	rs182770070
LZIC	4.798	rs182770070
CTNNBIP1	30.149	rs182770070
RBP7	56.788	rs182770070
UBE4B	92.414	rs182770070
CLSTN1	116.453	rs182770070
SYT10	155.232	rs1994135
SUN2	0.548	rs2076028
DNAL4	39.698	rs2076028
GTPBP1	48.703	rs2076028
JOSD1	53.778	rs2076028
NPTXR	64.007	rs2076028
TOMM22	72.488	rs2076028
CBY1	97.809	rs2076028
FAM227A	98.053	rs2076028
CBX6	117.771	rs2076028
LMO4	98.569	rs2152735
DCP1B	70.843	rs2283274
CACNA1C	104.528	rs2283274
MN1	37.134	rs2283847
DCP1A	73.999	rs2358740
CACNA1D	80.676	rs4687718
PPIL1	5.846	rs236349
C6orf89	19.081	rs236349
CPNE5	95.408	rs236349
PI16	95.474	rs236349
MTCH1	119.235	rs236349
TMEM53	127.858	rs272564
DSP	12.989	rs2744375
SNRNP48	35.592	rs2744375
CD34	4.822	rs2745959
PLXNA2	106.295	rs2745959
IP6K1	8.305	rs3749237
GMPPB	8.648	rs3749237
AMIGO3	15.77	rs3749237
RNF123	43.061	rs3749237
MST1	47.509	rs3749237
APEH	58.585	rs3749237
CDHR4	60.332	rs3749237
INKA1	70.662	rs3749237
UBA7	72.61	rs3749237
TRAIP	123.965	rs3749237
CEP20	71.717	rs3915499
MYH11	113.751	rs3915499
CD46	36.35	rs41317993
CAPZA2	4.551	rs41748
MYH6	10.66	rs11465506
MYH7	17.145	rs422068
CMTM5	3.321	rs11465506
IL25	0.643	rs11465506
EFS	7.819	rs11465506
SLC22A17	20.592	rs11465506
NGDN	74.094	rs422068
PABPN1	51.995	rs11465506
BCL2L2-PABPN1	66.619	rs11465506
BCL2L2	74.662	rs11465506
PPP1R3E	77.8	rs11465506
HOMEZ	87.32	rs11465506
MFF	55.712	rs4608502
COL4A3	104.815	rs4608502
COL4A4	105.234	rs4608502
TM4SF20	109.867	rs4608502
SCYGR1	118.244	rs4608502
NKX2-5	19.091	rs4868243
BNIP1	9.421	rs255292
STC2	112.299	rs4868243
DGLUCY	56.696	rs4900069
GPR68	115.503	rs4900069
BCAT1	192.08	rs17287293
PLEC	32.277	rs56233017
EPPK1	49.996	rs56233017
NRBP2	73.737	rs56233017
PARP10	77.038	rs56233017
PUF60	78.005	rs56233017
GRINA	82.736	rs56233017
SCRIB	91.941	rs56233017
SPATC1	104.96	rs56233017
WIPF1	31.538	rs1991601
CHRNA1	81.527	rs564190295
TBX20	16.235	rs58437978
TGM2	46.484	rs6123471
KIAA1755	48.981	rs6123471
BPI	92.402	rs6123471
TPGS2	66.889	rs879568
KIAA1328	97.41	rs879568
MEIS1	64.478	rs62144050
CALCRL	70.61	rs62172372
NR3C2	25.311	rs6845865
HCN4	51.703	rs7173389
REC114	71.602	rs7173389
CDH11	130.931	rs7194801
CHRM2	22.701	rs73158705
SPAAR	0.031	rs748802
HRCT1	3.319	rs748802
OR13J1	40.058	rs748802
OR2S2	47.587	rs748802
FAM221B	80.789	rs748802
TMEM8B	95.07	rs748802
HINT2	95.751	rs748802
SPAG8	98.447	rs748802
NPR2	118.518	rs748802
KCNJ5	3.32	rs75190942
C11orf45	11.021	rs75190942
KCNJ1	27.38	rs75190942
TP53AIP1	48.251	rs75190942
GNB4	3.721	rs7612445
MFN1	107.482	rs7612445
ACTL6A	107.695	rs7612445
TEKT3	15.039	rs79121763
PMP22	28.772	rs79121763
RASSF3	76.069	rs867400
SPEG	0.024	rs907683
DES	16.442	rs907683
DNPEP	47.023	rs907683
SPEGNB	61.312	rs907683
GMPPA	64.046	rs907683
RESP18	107.412	rs907683
FER	336.151	rs9326726
MPPED2	105.653	rs10488821
CCDC59	175.955	rs10778876
TBX3	238.364	rs1896312
SETBP1	176.514	rs10853525
HLF	31.229	rs11079159
N6AMT1	103.45	rs11700980
SIPA1L1	16.681	rs17767398
NHLH2	50.636	rs12039739
CASQ2	68.325	rs4074536
DDR1	56.436	rs1264353
IER3	75.438	rs1264353
FLOT1	79.132	rs1264353
GTF2H4	88.222	rs1264353
VARS2	94.22	rs1264353
TUBB	102.55	rs1264353
MDC1	102.704	rs1264353
SFTA2	112.124	rs1264353
MUCL3	114.538	rs1264353
LRMDA	699.864	rs12764182
HAND1	14.508	rs13165478
SAP30L	43.483	rs13165478
ZNF184	4.598	rs13195040
ZNF391	71.53	rs13195040
CDKN1A	20.858	rs9470361
RAB44	42.224	rs9470361
SRSF3	60.77	rs1321311
MITF	6.445	rs13314892
SLIT2	70.946	rs1344852
LRCH1	87.915	rs1408224
AMPD3	12.851	rs1562782
ADM	16.091	rs1562782
SBF2	26.943	rs1562782
HEATR5B	23.136	rs3770770
GPATCH11	63.646	rs17020136
DKK1	149.936	rs1733724
C1orf185	21.753	rs17391905
CDKN2C	119.723	rs17391905
GOSR2	12.83	rs17608766
RPRML	42.251	rs17608766
WNT9B	102.704	rs17608766
WNT3	117.213	rs17608766
GPR155	115.953	rs1991601
GSS	3.609	rs2025096
MYH7B	3.613	rs2025096
TRPC4AP	50.207	rs2025096
ACSS2	80.051	rs2025096
GGT7	107.477	rs2025096
TM2D1	292.846	rs2207790
LRIG1	119.844	rs2242285
RBM20	87.526	rs2419577
STH	49.877	rs242562
MAPT	54.846	rs242562
KANSL1	96.748	rs242562
SPPL2C	104.492	rs242562
TRIM63	6.698	rs2997447
SLC30A2	14.819	rs2997447
EXTL1	41.048	rs2997447
PDIK1L	50.241	rs2997447
PAFAH2	62.869	rs2997447
FAM110D	98.147	rs2997447
C1orf232	103.169	rs2997447
ZNF593	108.976	rs2997447
ZNF593OS	110.889	rs2997447
CNKSR1	116.559	rs2997447
CPEB4	0.514	rs359466
C5orf47	84.916	rs359466
EDN1	130.895	rs3777755
TBX5	48.506	rs3825214
BMP2	288.043	rs3929778
CAND2	4.252	rs4642101
RPL32	40.841	rs4642101
TMEM40	41.465	rs4642101
TKT	7.735	rs4687718
PRKCD	92.278	rs4687718
RFT1	117.852	rs4687718
SOD2	220.336	rs4708832
ARHGEF16	112.046	rs6683273
TNS3	679.016	rs6968945
SLC6A4	35.575	rs7211246
NSRP1	43.223	rs7211246
USP25	24.65	rs7283707
TCF7L2	204.541	rs7918405
NPPA	20.537	rs7537765
CLCN6	21.055	rs7537765
MTHFR	21.833	rs7537765
NPPB	30.218	rs7537765
C1orf167	65.459	rs7537765
AGTRAP	91.162	rs7537765
KIAA2013	99.181	rs7537765
PLOD1	106.959	rs7537765
CRIM1	90.634	rs7562790
FEZ2	105.856	rs7562790
RIOK1	112.708	rs7771320
CAGE1	113.126	rs7771320
IGFBP3	659.275	rs7784776
NSUN6	244.624	rs7909027
SLC25A27	8.853	rs9296504
CYP39A1	8.95	rs9296504
TDRD6	26.107	rs9296504
PLA2G7	73.607	rs9296504
ANKRD66	85.165	rs9296504
MED13L	167.215	rs11067773
KRTCAP2	4.605	rs11264339
TRIM46	5.615	rs11264339
MUC1	24.743	rs11264339
DPM3	27.765	rs11264339
THBS3	28.27	rs11264339
SLC50A1	32.828	rs11264339
EFNA1	40.296	rs11264339
MTX1	40.523	rs11264339
GBAP1	50.752	rs11264339
GBA	73.077	rs11264339
FAM189B	86.788	rs11264339
EFNA3	89.335	rs11264339
SCAMP3	90.743	rs11264339
EFNA4	104.435	rs11264339
CLK2	105.115	rs11264339
HCN3	109.291	rs11264339
ADAM15	117.606	rs11264339
PKLR	121.121	rs11264339
HERPUD2	188.958	rs11763856
MYBPHL	0.711	rs12127701
PSRC1	12.527	rs12127701
CELSR2	46.103	rs12127701
SARS1	81.724	rs12127701
SORT1	97.715	rs12127701
PSMA5	103.4	rs12127701
SH3PXD2A	92.459	rs12257568
STN1	114.452	rs12257568
ALDH18A1	0.535	rs12359272
SORBS1	44.028	rs12359272
TCTN3	88.546	rs12359272
ENTPD1	106.373	rs12359272
OXR1	766.318	rs12678719
FIGN	74.704	rs13018106
PDZRN3	101.112	rs13087058
DBX1	162.425	rs1372797
ABHD10	67.07	rs16858828
TAGLN3	86.982	rs16858828
TMPRSS7	122.903	rs16858828
CAMK2D	264.334	rs17446418
ARHGAP44	55.073	rs1984481
MYOCD	68.535	rs1984481
CREBRF	97.511	rs255292
XPO4	77.906	rs2585897
EEF1AKMT1	96.109	rs2585897
IL17D	122.713	rs2585897
TMEM182	44.97	rs2732860
MFSD9	63.541	rs2732860
ARHGAP24	266.752	rs343849
FAT1	17.417	rs3733409
ID2	68.709	rs3856447
KIDINS220	110.945	rs3856447
OBSCN	57.583	rs397637
IBA57	99.823	rs397637
GJC2	115.697	rs397637
SKI	45.032	rs4648819
FAAP20	65.618	rs4648819
MORN1	118.203	rs4648819
RER1	118.477	rs4648819
FERMT2	37.828	rs4901308
GNPNAT1	121.6	rs4901308
LINC00881	14.138	rs6441111
CCNL1	42.489	rs6441111
WNT11	13.745	rs652673
MICU2	8.447	rs718426
ZDHHC20	52.217	rs718426
TTC39A	53.879	rs7538988
RNF11	115.596	rs7538988
IGF2BP2	10.212	rs7638853
SENP2	30.881	rs6762208
PAM	10.891	rs7729395
FGFR1	7.093	rs881301
LETM2	88.593	rs881301
NSD3	92.529	rs881301
TLE3	107.453	rs904974
EOMES	70.758	rs9826413
MAP3K7	191.867	rs10484885
ESD	44.391	rs10507540
HTR2A	55.501	rs10507540
ANO3	388.564	rs10767455
ORC2	40.177	rs1106399
NDUFB3	67.596	rs1106399
FAM126B	67.832	rs1106399
CFLAR	112.317	rs1106399
NIF3L1	114.51	rs1106399
PPIL3	114.76	rs1106399
PIGC	61.855	rs12132562
C1orf105	67.214	rs12132562
TM9SF2	18.581	rs12430683
CAVIN2	2.046	rs12468579
DTWD2	75.622	rs7726558
PIK3C3	67.568	rs1397988
CNTNAP5	616.344	rs1439840
OTOL1	779.597	rs1478173
ACVR2A	129.191	rs1606812
ZHX2	484.214	rs16895033
PCDH7	1656.358	rs17081313
NRXN3	721.769	rs17107548
DNAJB9	193.795	rs17156495
HIKESHI	23.676	rs17211409
CCDC81	48.849	rs17211409
EED	81.134	rs17211409
DCTD	282.08	rs17281245
CADPS	136.089	rs17639063
FSCB	1325.742	rs1777084
L1TD1	80.447	rs1890262
LANCL2	30.053	rs1997103
FARS2	217.749	rs200214
CSMD1	775.946	rs2134953
SPART	20.688	rs2182486
CCNA1	64.438	rs2182486
CCDC169	69.258	rs2182486
TINAG	53.27	rs3736352
SOCS6	647.513	rs4362469
NKX6-1	372.51	rs4591595
EOGT	19.733	rs4855537
TAFA4	22.937	rs4855537
TMF1	96.849	rs4855537
UBA3	124.897	rs4855537
RALY	20.747	rs4911179
EIF2S2	115.41	rs4911179
SLC24A3	59.568	rs6035275
CHMP4B	96.561	rs6088791
KCNN2	199.872	rs624896
NT5C1B	43.016	rs6718130
NT5C1B-RDH14	43.023	rs6718130
RDH14	71.932	rs6718130
DYSF	98.06	rs7595140
CDH9	1711.721	rs7713675
CNTLN	211.873	rs7861565
TENM2	1575.283	rs830233
KIRREL3	677.104	rs985292
IGSF11	941.055	rs9853921
RIOK3	48.099	rs9966832
RMC1	98.323	rs9966832
XYLB	30.434	rs2070492
SLC22A14	34.032	rs2070492
SLC22A13	50.514	rs2070492
NACA	4.955	rs2926743
PRIM1	10.98	rs2926743
HSD17B6	31.845	rs2926743
PTGES3	28.011	rs2958149
ATP5F1B	70.729	rs2958149
BAZ2A	79.642	rs2958149
LIPH	107.115	rs6762208
TMEM41A	114.342	rs6762208
