Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Long-term potentiation	1/67	0.4436855944009923	0.7310554639418194	0	0	1.7306008057453144	1.4063538606534318	CREBBP
Adipocytokine signaling pathway	1/69	0.4533558321960898	0.7310554639418194	0	0	1.6795307718463108	1.3286397772656142	PPARGC1A
Central carbon metabolism in cancer	1/70	0.4581280907368735	0.7310554639418194	0	0	1.6551059730250481	1.2919864143152329	FGFR1
RIG-I-like receptor signaling pathway	1/70	0.4581280907368735	0.7310554639418194	0	0	1.6551059730250481	1.2919864143152329	CASP8
Inositol phosphate metabolism	1/73	0.47219774309377993	0.7373295375890596	0	0	1.5859023763648041	1.1899936375416538	PIK3C3
MAPK signaling pathway	3/294	0.4725767840198013	0.7373295375890596	0	0	1.1777295472357872	0.8827731171678783	STMN1;MAPT;FGFR1
PPAR signaling pathway	1/74	0.4768064343075919	0.7373295375890596	0	0	1.5640985034444532	1.1584412176622558	SORBS1
Synaptic vesicle cycle	1/78	0.4948445060126242	0.7497644030494306	0	0	1.4825463553787253	1.042988699432748	SLC6A4
Antigen processing and presentation	1/78	0.4948445060126242	0.7497644030494306	0	0	1.4825463553787253	1.042988699432748	CIITA
Peroxisome	1/82	0.5122641310571929	0.7531961346007172	0	0	1.4090487404552916	0.9425337057603482	SOD2
Pathogenic Escherichia coli infection	2/197	0.5131041647969756	0.7531961346007172	0	0	1.170602265951103	0.7811152706982241	CASP8;WIPF1
Complement and coagulation cascades	1/85	0.5249357054640315	0.7531961346007172	0	0	1.3585191301954307	0.8755377157391645	TFPI
ErbB signaling pathway	1/85	0.5249357054640315	0.7531961346007172	0	0	1.3585191301954307	0.8755377157391645	CDKN1A
Colorectal cancer	1/86	0.529086394818438	0.7531961346007172	0	0	1.3424685481128869	0.8546202343921173	CDKN1A
Insulin secretion	1/86	0.529086394818438	0.7531961346007172	0	0	1.3424685481128869	0.8546202343921173	KCNN2
Proteoglycans in cancer	2/205	0.534462907466046	0.7531961346007172	0	0	1.1240119143086265	0.7041855373563239	CDKN1A;FGFR1
Gap junction	1/88	0.5372799093485117	0.7531961346007172	0	0	1.3114743206431467	0.8147351578668095	GJA1
Rap1 signaling pathway	2/210	0.5474851608273558	0.7536863288631251	0	0	1.0967128801431127	0.6606816868024498	SIPA1L1;FGFR1
Lipid and atherosclerosis	2/215	0.5602524059188213	0.7536863288631251	0	0	1.070695490774102	0.6203265679896567	CASP8;SOD2
Phosphatidylinositol signaling system	1/97	0.5724313282017013	0.7536863288631251	0	0	1.1879816955684008	0.6627304404114991	PIK3C3
Aldosterone synthesis and secretion	1/98	0.5761692938908964	0.7536863288631251	0	0	1.1756748703891307	0.6482127467653656	NPPA
Hematopoietic cell lineage	1/99	0.5798747669908522	0.7536863288631251	0	0	1.1636192049073966	0.634106277380677	CD34
AGE-RAGE signaling pathway in diabetic complications	1/100	0.58354802824362	0.7536863288631251	0	0	1.1518070882232732	0.6203961472877585	EDN1
Progesterone-mediated oocyte maturation	1/100	0.58354802824362	0.7536863288631251	0	0	1.1518070882232732	0.6203961472877585	CPEB4
Chagas disease	1/102	0.5907990265731289	0.7536863288631251	0	0	1.1288845647570538	0.594108664280511	CASP8
Pancreatic secretion	1/102	0.5907990265731289	0.7536863288631251	0	0	1.1288845647570538	0.594108664280511	SLC4A4
Protein digestion and absorption	1/103	0.594377313347594	0.7536863288631251	0	0	1.1177603989572709	0.5815047358751091	SLC8A1
Toll-like receptor signaling pathway	1/104	0.5979244875647459	0.7536863288631251	0	0	1.106852236376901	0.5692439309609706	CASP8
C-type lectin receptor signaling pathway	1/104	0.5979244875647459	0.7536863288631251	0	0	1.106852236376901	0.5692439309609706	CASP8
Calcium signaling pathway	2/240	0.6202111313962009	0.7752639142452511	0	0	0.9570060582372484	0.45715731944404875	SLC8A1;FGFR1
Alzheimer disease	3/369	0.6256761186612213	0.7756315520593653	0	0	0.932796472054453	0.4374091828684266	CASP8;PIK3C3;MAPT
Salmonella infection	2/249	0.6402099637565081	0.7871433980612804	0	0	0.9217117032294511	0.41104571062785134	CASP8;PIK3C3
Osteoclast differentiation	1/127	0.671512859221495	0.8126879995539044	0	0	0.9037526378566841	0.35989428526407197	MITF
Oocyte meiosis	1/129	0.6772399996282537	0.8126879995539044	0	0	0.8895411849710982	0.34668049841991266	CPEB4
Relaxin signaling pathway	1/129	0.6772399996282537	0.8126879995539044	0	0	0.8895411849710982	0.34668049841991266	EDN1
Autophagy	1/137	0.6991726429357337	0.8182943332353988	0	0	0.8368752125127508	0.29948213968623344	PIK3C3
Yersinia infection	1/137	0.6991726429357337	0.8182943332353988	0	0	0.8368752125127508	0.29948213968623344	WIPF1
Estrogen signaling pathway	1/137	0.6991726429357337	0.8182943332353988	0	0	0.8368752125127508	0.29948213968623344	NCOA2
Measles	1/139	0.7044201640031796	0.8182943332353988	0	0	0.8246628131021194	0.28894558487351746	CASP8
Apoptosis	1/142	0.7121212759335521	0.8182943332353988	0	0	0.806993809699504	0.27398008827033093	CASP8
Spinocerebellar ataxia	1/143	0.7146437176922483	0.8182943332353988	0	0	0.8012700480338679	0.2692036254384872	PIK3C3
Phagosome	1/152	0.7363792647376993	0.836794619020113	0	0	0.7531677066186885	0.23047684058369247	PIK3C3
Necroptosis	1/159	0.752139644984171	0.8482777950949297	0	0	0.7195434257701032	0.20494990985866682	CASP8
Hippo signaling pathway	1/163	0.7607211888443749	0.8515535696019121	0	0	0.7016341968172412	0.19188878788696193	ID2
Pathways of neurodegeneration	3/475	0.7854426836658039	0.8727140929620044	0	0	0.7193725840023788	0.17373408432358806	CASP8;PIK3C3;MAPT
NOD-like receptor signaling pathway	1/181	0.7958246957887586	0.8733035360740048	0	0	0.6308927424534361	0.14408098101439612	CASP8
Axon guidance	1/182	0.7976172296142577	0.8733035360740048	0	0	0.6273752115734679	0.14186613489721012	SLIT2
PI3K-Akt signaling pathway	2/354	0.8163533758577014	0.8873406259322841	0	0	0.6433007399577167	0.13053084023987951	CDKN1A;FGFR1
Human immunodeficiency virus 1 infection	1/212	0.8446922498634462	0.9115383991332152	0	0	0.5373530942662247	0.0906960239491257	CASP8
Regulation of actin cytoskeleton	1/218	0.8527090429140258	0.9136168316935991	0	0	0.5223355797661223	0.08322732590457917	FGFR1
Ras signaling pathway	1/232	0.8698505193832657	0.9216754584895541	0	0	0.49032855391236896	0.06836842201230839	FGFR1
Chemical carcinogenesis	1/239	0.8776620150002892	0.9216754584895541	0	0	0.47573711565551074	0.062080700352939513	E2F1
Shigellosis	1/246	0.8850071940510019	0.9216754584895541	0	0	0.46197947387047306	0.05643518391103343	PIK3C3
Parkinson disease	1/249	0.8880192979059618	0.9216754584895541	0	0	0.4563210889427559	0.0541935158858066	MAPT
Endocytosis	1/252	0.8909529432065689	0.9216754584895541	0	0	0.4507979642125141	0.05205078573859812	WIPF1
Cytokine-cytokine receptor interaction	1/295	0.9254978589383261	0.9508539646626639	0	0	0.38401950375525934	0.029732118834925027	ACVR2A
Herpes simplex virus 1 infection	2/498	0.9331363745307508	0.9521799740109702	0	0	0.45316016504126033	0.03136046028217478	CASP8;ZNF184
Neuroactive ligand-receptor interaction	1/341	0.950479932910486	0.9633242563281954	0	0	0.33128187691261474	0.016825219966327146	EDN1
Amyotrophic lateral sclerosis	1/364	0.9596417488000474	0.9660822974497122	0	0	0.3099253172821223	0.012767448602915753	PIK3C3
Olfactory transduction	1/440	0.979506816354821	0.979506816354821	0	0	0.25527012258548726	0.005285644245388517	SLC8A1
